TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOL,WAPRICE
MICEXINDEXCF,2011-11-18,1475.31,1475.31,1442.81,1460.56,,
MICEXINDEXCF,2011-11-21,1460.54,1460.54,1389.13,1390.56,,
MICEXINDEXCF,2011-11-22,1390.55,1419.99,1390.1,1401.91,,
MICEXINDEXCF,2011-11-23,1401.91,1420.79,1379.5,1404.26,,
MICEXINDEXCF,2011-11-24,1404.25,1417.74,1391.7,1392.75,,
MICEXINDEXCF,2011-11-25,1392.65,1411.54,1363.26,1410.84,,
MICEXINDEXCF,2011-11-28,1411.03,1469.36,1411.03,1466.22,,
MICEXINDEXCF,2011-11-29,1466.22,1480.92,1448.86,1454.67,,
MICEXINDEXCF,2011-11-30,1454.66,1502.82,1447.73,1499.62,,
MICEXINDEXCF,2011-12-01,1499.62,1522.76,1498.25,1505.27,,
MICEXINDEXCF,2011-12-02,1505.35,1523.86,1495.76,1505.77,,
MICEXINDEXCF,2011-12-05,1505.77,1521.3,1499.36,1517.89,,
MICEXINDEXCF,2011-12-06,1517.45,1517.45,1456.01,1457.9,,
MICEXINDEXCF,2011-12-07,1458.09,1471.92,1437.1,1448.39,,
MICEXINDEXCF,2011-12-08,1448.69,1482.34,1448.69,1456.36,,
MICEXINDEXCF,2011-12-09,1456.26,1456.26,1390.74,1396.28,,
MICEXINDEXCF,2011-12-12,1396.28,1427.29,1344.82,1349.96,,
MICEXINDEXCF,2011-12-13,1349.96,1379.33,1323.2,1378.56,,
MICEXINDEXCF,2011-12-14,1377.82,1406.97,1360.37,1372.42,,
MICEXINDEXCF,2011-12-15,1371.94,1396.7,1350.88,1393.61,,
MICEXINDEXCF,2011-12-16,1393.88,1408.07,1375.03,1383.42,,
MICEXINDEXCF,2011-12-19,1383.42,1392.62,1358.65,1382.88,,
MICEXINDEXCF,2011-12-20,1382.87,1410.22,1367.4,1409.84,,
MICEXINDEXCF,2011-12-21,1385.17,1385.21,1384.63,1384.79,,
MICEXINDEXCF,2011-12-22,1385.17,1393.83,1372.25,1385.66,,
MICEXINDEXCF,2011-12-23,1385.68,1391.39,1373.42,1376.11,,
MICEXINDEXCF,2011-12-26,1376.11,1391.96,1374.64,1390.08,,
MICEXINDEXCF,2011-12-27,1390.08,1391.05,1375.96,1386.14,,
MICEXINDEXCF,2011-12-28,1386.14,1391.65,1379.53,1383.09,,
MICEXINDEXCF,2011-12-29,1383.09,1387.17,1360.99,1387.06,,
MICEXINDEXCF,2011-12-30,1387.05,1409.58,1382.76,1402.23,,
MICEXINDEXCF,2012-01-03,1402.25,1445.57,1401.21,1444.76,,
MICEXINDEXCF,2012-01-04,1444.76,1453.27,1437.62,1447.59,,
MICEXINDEXCF,2012-01-05,1447.59,1458.14,1432.88,1434.91,,
MICEXINDEXCF,2012-01-06,1434.9,1453.92,1431.97,1440.6,,
MICEXINDEXCF,2012-01-09,1440.6,1449.55,1432.01,1448.36,,
MICEXINDEXCF,2012-01-10,1448.36,1478.82,1444.02,1476.88,,
MICEXINDEXCF,2012-01-11,1476.86,1480.28,1458.72,1465.47,,
MICEXINDEXCF,2012-01-12,1465.46,1485.17,1457.78,1464.53,,
MICEXINDEXCF,2012-01-13,1464.52,1478.12,1458.74,1463.43,,
MICEXINDEXCF,2012-01-16,1463.44,1467.41,1445.94,1464.42,,
MICEXINDEXCF,2012-01-17,1464.7,1494.97,1464.62,1486.34,,
MICEXINDEXCF,2012-01-18,1486.36,1495.3,1475.56,1493.7,,
MICEXINDEXCF,2012-01-19,1493.66,1505.97,1490.29,1503.7,,
MICEXINDEXCF,2012-01-20,1503.71,1506.84,1486.16,1491.15,,
MICEXINDEXCF,2012-01-23,1491.05,1499.84,1477.02,1499.27,,
MICEXINDEXCF,2012-01-24,1499.29,1502.34,1480.62,1488.7,,
MICEXINDEXCF,2012-01-25,1488.7,1507.31,1488.7,1498.79,,
MICEXINDEXCF,2012-01-26,1498.8,1519.55,1498.8,1514.72,,
MICEXINDEXCF,2012-01-27,1514.72,1518.4,1503.37,1508.04,,
MICEXINDEXCF,2012-01-30,1508.04,1513.96,1492.03,1496.3,,
MICEXINDEXCF,2012-01-31,1496.24,1518.36,1495.8,1514.03,,
MICEXINDEXCF,2012-02-01,1514.02,1540.48,1504.13,1539.36,,
MICEXINDEXCF,2012-02-02,1539.36,1547.62,1532.4,1542.39,,
MICEXINDEXCF,2012-02-03,1542.44,1565.52,1536.3,1564.82,,
MICEXINDEXCF,2012-02-06,1564.82,1570.48,1557.83,1562.87,,
MICEXINDEXCF,2012-02-07,1562.87,1571.7,1546.34,1549.49,,
MICEXINDEXCF,2012-02-08,1549.47,1571.44,1548.86,1555.11,,
MICEXINDEXCF,2012-02-09,1555.09,1565.9,1532.6,1541.64,,
MICEXINDEXCF,2012-02-10,1541.7,1544.1,1521.78,1525.17,,
MICEXINDEXCF,2012-02-13,1525.21,1560.83,1524.56,1559.21,,
MICEXINDEXCF,2012-02-14,1559.21,1574.75,1553.69,1562.13,,
MICEXINDEXCF,2012-02-15,1562.13,1582.76,1555.93,1579.38,,
MICEXINDEXCF,2012-02-16,1579.4,1581.77,1554.41,1570.36,,
MICEXINDEXCF,2012-02-17,1570.36,1585.15,1559.82,1568.54,,
MICEXINDEXCF,2012-02-20,1568.54,1585.75,1567.29,1579.19,,
MICEXINDEXCF,2012-02-21,1579.19,1580.4,1555.58,1558.98,,
MICEXINDEXCF,2012-02-22,1558.91,1571.23,1536.05,1538.17,,
MICEXINDEXCF,2012-02-24,1538.17,1595.58,1534.93,1594.55,,
MICEXINDEXCF,2012-02-27,1594.5,1607.69,1585.44,1592.66,,
MICEXINDEXCF,2012-02-28,1592.67,1604.29,1570.24,1574.1,,
MICEXINDEXCF,2012-02-29,1574.1,1599.42,1574.1,1597.67,,
MICEXINDEXCF,2012-03-01,1597.67,1602.72,1577.98,1595.78,,
MICEXINDEXCF,2012-03-02,1595.78,1608.75,1587.82,1608.08,,
MICEXINDEXCF,2012-03-05,1608.08,1629.55,1608.08,1625.74,,
MICEXINDEXCF,2012-03-06,1625.72,1626.02,1561.19,1562.19,,
MICEXINDEXCF,2012-03-07,1562.19,1574.84,1551.07,1572.83,,
MICEXINDEXCF,2012-03-11,1572.74,1608.61,1569.74,1606.33,,
MICEXINDEXCF,2012-03-12,1606.37,1619.24,1592.53,1604.26,,
MICEXINDEXCF,2012-03-13,1604.26,1617.53,1602.21,1611.88,,
MICEXINDEXCF,2012-03-14,1611.88,1634.31,1611.46,1631.15,,
MICEXINDEXCF,2012-03-15,1631.15,1639.63,1618.32,1626.63,,
MICEXINDEXCF,2012-03-16,1626.63,1629.02,1608.69,1618.99,,
MICEXINDEXCF,2012-03-19,1618.99,1626.83,1579.14,1586.41,,
MICEXINDEXCF,2012-03-20,1586.41,1594.08,1556.22,1558.65,,
MICEXINDEXCF,2012-03-21,1558.65,1572.25,1542.09,1551.78,,
MICEXINDEXCF,2012-03-22,1551.76,1561.11,1525.6,1529.51,,
MICEXINDEXCF,2012-03-23,1529.51,1541.68,1518.24,1540.97,,
MICEXINDEXCF,2012-03-26,1540.39,1568.86,1539.52,1565.12,,
MICEXINDEXCF,2012-03-27,1565.12,1574.27,1549.27,1554.28,,
MICEXINDEXCF,2012-03-28,1554.38,1555.63,1518.4,1520.37,,
