TICKER;PER;DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOL
MICEXINDEXCF;5;20180103;114000;2137.7500000;2138.0500000;2134.9400000;2136.6300000;239610419
MICEXINDEXCF;5;20180103;114500;2136.5100000;2137.5000000;2136.2200000;2137.0200000;186691990
MICEXINDEXCF;5;20180103;115000;2136.9300000;2137.2500000;2134.7500000;2136.8600000;456366270
MICEXINDEXCF;5;20180103;115500;2136.9000000;2136.9000000;2135.3400000;2135.8700000;179117345
MICEXINDEXCF;5;20180103;120000;2135.8700000;2136.1200000;2134.0900000;2134.0900000;208221582
MICEXINDEXCF;5;20180103;120500;2134.0000000;2135.7500000;2133.7900000;2134.4700000;168211285
MICEXINDEXCF;5;20180103;121000;2134.4500000;2134.8900000;2133.0600000;2133.1500000;134846419
MICEXINDEXCF;5;20180103;121500;2133.1400000;2133.8700000;2132.4700000;2132.4900000;96754502
MICEXINDEXCF;5;20180103;122000;2132.5000000;2134.7400000;2132.5000000;2133.2400000;148501170
MICEXINDEXCF;5;20180103;122500;2133.1300000;2133.7600000;2132.7500000;2132.8400000;191094454
MICEXINDEXCF;5;20180103;123000;2132.8400000;2133.1600000;2132.6200000;2132.8400000;157867761
MICEXINDEXCF;5;20180103;123500;2132.8300000;2135.0300000;2132.7100000;2134.9800000;93634092
MICEXINDEXCF;5;20180103;124000;2134.9800000;2136.5700000;2134.8900000;2136.4700000;139758555
MICEXINDEXCF;5;20180103;124500;2136.4700000;2138.2800000;2136.0400000;2138.0000000;163241160
MICEXINDEXCF;5;20180103;125000;2137.9400000;2138.2000000;2136.8300000;2137.5600000;145028988
MICEXINDEXCF;5;20180103;125500;2137.5600000;2137.5800000;2136.6200000;2136.9400000;118415933
MICEXINDEXCF;5;20180103;130000;2136.9400000;2137.1400000;2136.4700000;2136.9300000;107363969
MICEXINDEXCF;5;20180103;130500;2137.0700000;2137.4600000;2135.7200000;2136.4400000;111127745
MICEXINDEXCF;5;20180103;131000;2136.4500000;2137.4300000;2136.0800000;2136.3000000;108160690
MICEXINDEXCF;5;20180103;131500;2136.2300000;2136.5400000;2135.0800000;2136.0900000;95035603
MICEXINDEXCF;5;20180103;132000;2136.0900000;2136.4600000;2134.9200000;2135.9500000;85548672
MICEXINDEXCF;5;20180103;132500;2135.9700000;2136.6700000;2135.1500000;2136.5100000;125036205
